Stock,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
AFRM,2022-12-23 00:00:00-05:00,9.050000191,9.385000229,8.880000114,9.18999958,10908900,0,0
AFRM,2022-12-27 00:00:00-05:00,8.970000267,9.164999962,8.630000114,8.909999847,14115500,0,0
AFRM,2022-12-28 00:00:00-05:00,8.805000305,9.18900013,8.760000229,9.029999733,11056200,0,0
AFRM,2022-12-29 00:00:00-05:00,9.199999809,9.949999809,9.039999962,9.659999847,16966600,0,0
AFRM,2022-12-30 00:00:00-05:00,9.449999809,9.720000267,9.324999809,9.670000076,10458400,0,0
AFRM,2023-01-03 00:00:00-05:00,10.02000046,10.22999954,8.949999809,9.100000381,14783500,0,0
AFRM,2023-01-04 00:00:00-05:00,9.350000381,10.05000019,9.140000343,9.890000343,16311100,0,0
AFRM,2023-01-05 00:00:00-05:00,9.670000076,9.720999718,9.180000305,9.18999958,11763800,0,0
AFRM,2023-01-06 00:00:00-05:00,9.100000381,9.338999748,8.800000191,9.06000042,12487400,0,0
AFRM,2023-01-09 00:00:00-05:00,9.31000042,9.819999695,9.210000038,9.430000305,13617600,0,0
AFRM,2023-01-10 00:00:00-05:00,9.31000042,10.07999992,9.100000381,10.06000042,12314300,0,0
AFRM,2023-01-11 00:00:00-05:00,10.18000031,11.35000038,10.03999996,11.31999969,23287900,0,0
AFRM,2023-01-12 00:00:00-05:00,11.47000027,12.21000004,10.84000015,12.19999981,21853500,0,0
AFRM,2023-01-13 00:00:00-05:00,11.75,12.93999958,11.71000004,12.88000011,19009900,0,0
AFRM,2023-01-17 00:00:00-05:00,12.88000011,13.55000019,12.54500008,13.44999981,14529000,0,0
AFRM,2023-01-18 00:00:00-05:00,13.80000019,14.56999969,12.89999962,12.97999954,22009500,0,0
AFRM,2023-01-19 00:00:00-05:00,12.42000008,12.68500042,11.90999985,12.25,20007200,0,0
AFRM,2023-01-20 00:00:00-05:00,12.55000019,14.30000019,12.28499985,14.30000019,20373000,0,0
AFRM,2023-01-23 00:00:00-05:00,14.52999973,15.81999969,14.21000004,15.44999981,24866000,0,0
AFRM,2023-01-24 00:00:00-05:00,15.11999989,16.04999924,14.18999958,14.31999969,20382600,0,0
AFRM,2023-01-25 00:00:00-05:00,13.38000011,14.23999977,12.85999966,14.14000034,22855200,0,0
AFRM,2023-01-26 00:00:00-05:00,14.75,15.22999954,13.81200027,14.35999966,16196500,0,0
AFRM,2023-01-27 00:00:00-05:00,14.38000011,16.59499931,14.22000027,16.23999977,24317900,0,0
AFRM,2023-01-30 00:00:00-05:00,15.65999985,16.11499977,15.05000019,15.10000038,15513800,0,0
AFRM,2023-01-31 00:00:00-05:00,15.35000038,16.5,14.85999966,16.19000053,17316700,0,0
AFRM,2023-02-01 00:00:00-05:00,15.97000027,18.03000069,15.57499981,17.71999931,22555200,0,0
AFRM,2023-02-02 00:00:00-05:00,18.77499962,22.75,18.71999931,21.13999939,39691200,0,0
AFRM,2023-02-03 00:00:00-05:00,19.29000092,20.49500084,18.03000069,18.14999962,28836400,0,0
AFRM,2023-02-06 00:00:00-05:00,17.84000015,18.24500084,16.85000038,17.01000023,18110600,0,0
